time,p_inlet,p_outlet,delta_p
0.772,5.24767,0.650266,4.597404
0.774,5.24767,0.650266,4.597404
0.776,5.24767,0.650265,4.597405
0.778,5.24767,0.650265,4.597405
0.78,5.24767,0.650266,4.597404
0.782,5.24767,0.650266,4.597404
0.784,5.24767,0.650265,4.597405
0.786,5.24767,0.650265,4.597405
0.788,5.24767,0.650265,4.597405
0.79,5.24767,0.650266,4.597404
0.792,5.24767,0.650266,4.597404
0.794,5.24767,0.650265,4.597405
0.796,5.24767,0.650265,4.597405
0.798,5.24767,0.650266,4.597404
0.8,5.24767,0.650266,4.597404
0.802,5.24767,0.650266,4.597404
0.804,5.24767,0.650266,4.597404
0.806,5.24767,0.650266,4.597404
0.808,5.24767,0.650266,4.597404
0.81,5.24767,0.650266,4.597404
0.812,5.24767,0.650266,4.597404
0.814,5.24767,0.650266,4.597404
0.816,5.24767,0.650265,4.597405
0.818,5.24767,0.650265,4.597405
0.82,5.24767,0.650266,4.597404
0.822,5.24767,0.650266,4.597404
0.824,5.24767,0.650265,4.597405
0.826,5.24767,0.650265,4.597405
0.828,5.24767,0.650266,4.597404
0.83,5.24767,0.650266,4.597404
0.832,5.24767,0.650266,4.597404
0.834,5.24767,0.650266,4.597404
0.836,5.24767,0.650266,4.597404
0.838,5.24767,0.650266,4.597404
0.84,5.24767,0.650266,4.597404
0.842,5.24767,0.650266,4.597404
0.844,5.24767,0.650266,4.597404
0.846,5.24767,0.650265,4.597405
0.848,5.24767,0.650265,4.597405
0.85,5.24767,0.650266,4.597404
0.852,5.24767,0.650266,4.597404
0.854,5.24767,0.650265,4.597405
0.856,5.24767,0.650265,4.597405
0.858,5.24767,0.650266,4.597404
0.86,5.24767,0.650266,4.597404
0.862,5.24767,0.650265,4.597405
0.864,5.24767,0.650265,4.597405
0.866,5.24767,0.650265,4.597405
0.868,5.24767,0.650266,4.597404
0.87,5.24767,0.650266,4.597404
0.872,5.24767,0.650266,4.597404
0.874,5.24767,0.650266,4.597404
0.876,5.24767,0.650265,4.597405
0.878,5.24767,0.650265,4.597405
0.88,5.24767,0.650266,4.597404
0.882,5.24767,0.650266,4.597404
0.884,5.24767,0.650265,4.597405
0.886,5.24767,0.650265,4.597405
0.888,5.24767,0.650266,4.597404
0.89,5.24767,0.650266,4.597404
0.892,5.24767,0.650266,4.597404
0.894,5.24767,0.650265,4.597405
0.896,5.24767,0.650265,4.597405
0.898,5.24767,0.650266,4.597404
0.9,5.24767,0.650266,4.597404
0.902,5.24767,0.650266,4.597404
0.904,5.24767,0.650266,4.597404
0.906,5.24767,0.650265,4.597405
0.908,5.24767,0.650265,4.597405
0.91,5.24767,0.650266,4.597404
0.912,5.24767,0.650266,4.597404
0.914,5.24767,0.650265,4.597405
0.916,5.24767,0.650265,4.597405
0.918,5.24767,0.650265,4.597405
0.92,5.24767,0.650266,4.597404
0.922,5.24767,0.650266,4.597404
0.924,5.24767,0.650265,4.597405
0.926,5.24767,0.650265,4.597405
0.928,5.24767,0.650266,4.597404
0.93,5.24767,0.650266,4.597404
0.932,5.24767,0.650266,4.597404
0.934,5.24767,0.650266,4.597404
0.936,5.24767,0.650266,4.597404
0.938,5.24767,0.650266,4.597404
0.94,5.24767,0.650266,4.597404
0.942,5.24767,0.650266,4.597404
0.944,5.24767,0.650266,4.597404
0.946,5.24767,0.650265,4.597405
0.948,5.24767,0.650265,4.597405
0.95,5.24767,0.650266,4.597404
0.952,5.24767,0.650266,4.597404
0.954,5.24767,0.650265,4.597405
0.956,5.24767,0.650265,4.597405
0.958,5.24767,0.650266,4.597404
0.96,5.24767,0.650266,4.597404
0.962,5.24767,0.650265,4.597405
0.964,5.24767,0.650265,4.597405
0.966,5.24767,0.650266,4.597404
0.968,5.24767,0.650266,4.597404
0.97,5.24767,0.650266,4.597404
0.972,5.24767,0.650266,4.597404
0.974,5.24767,0.650266,4.597404
0.976,5.24767,0.650265,4.597405
0.978,5.24767,0.650265,4.597405
0.98,5.24767,0.650266,4.597404
0.982,5.24767,0.650266,4.597404
0.984,5.24767,0.650265,4.597405
0.986,5.24767,0.650265,4.597405
0.988,5.24767,0.650266,4.597404
0.99,5.24767,0.650266,4.597404
0.992,5.24767,0.650266,4.597404
0.994,5.24767,0.650265,4.597405
0.996,5.24767,0.650265,4.597405
0.998,5.24767,0.650266,4.597404
1.0,5.24767,0.650266,4.597404
1.002,5.24767,0.650266,4.597404
1.004,5.24767,0.650266,4.597404
1.006,5.24767,0.650265,4.597405
1.008,5.24767,0.650265,4.597405
1.01,5.24767,0.650266,4.597404
1.012,5.24767,0.650266,4.597404
1.014,5.24767,0.650265,4.597405
1.016,5.24767,0.650265,4.597405
1.018,5.24767,0.650265,4.597405
1.02,5.24767,0.650266,4.597404
1.022,5.24767,0.650266,4.597404
1.024,5.24767,0.650265,4.597405
1.026,5.24767,0.650265,4.597405
1.028,5.24767,0.650266,4.597404
1.03,5.24767,0.650266,4.597404
1.032,5.24767,0.650266,4.597404
1.034,5.24767,0.650266,4.597404
1.036,5.24767,0.650266,4.597404
1.038,5.24767,0.650266,4.597404
1.04,5.24767,0.650266,4.597404
